,index,qtype,story,perceivers,story_with_perceivers
287,290,second_order_1_no_tom,"['Emily entered the porch', 'Avery entered the porch', 'The pumpkin is in the treasure chest', 'The treasure chest is in the porch', 'Avery moved the pumpkin to the pantry', 'The pantry is in the porch', 'Emily exited the porch', 'Avery exited the porch', 'Emily entered the back yard']","[['Emily'], ['Avery', 'Emily'], ['Emily', 'Avery'], ['Emily', 'Avery'], ['Avery', 'Emily'], ['Emily', 'Avery'], ['Emily', 'Avery'], ['Avery'], ['Emily']]","[{'Emily entered the porch': ['Emily']}, {'Avery entered the porch': ['Avery', 'Emily']}, {'The pumpkin is in the treasure chest': ['Emily', 'Avery']}, {'The treasure chest is in the porch': ['Emily', 'Avery']}, {'Avery moved the pumpkin to the pantry': ['Avery', 'Emily']}, {'The pantry is in the porch': ['Emily', 'Avery']}, {'Emily exited the porch': ['Emily', 'Avery']}, {'Avery exited the porch': ['Avery']}, {'Emily entered the back yard': ['Emily']}]"
288,291,second_order_0_no_tom,"['Evelyn entered the workshop', 'Sophia entered the workshop', 'The pants is in the bucket', 'The bucket is in the workshop', 'Sophia moved the pants to the envelope', 'The envelope is in the workshop', 'Evelyn exited the workshop', 'Sophia exited the workshop', 'Evelyn entered the dining room']","[['Evelyn'], ['Sophia', 'Evelyn'], ['Evelyn', 'Sophia'], ['Evelyn', 'Sophia'], ['Sophia', 'Evelyn'], ['Evelyn', 'Sophia'], ['Evelyn', 'Sophia'], ['Sophia'], ['Evelyn']]","[{'Evelyn entered the workshop': ['Evelyn']}, {'Sophia entered the workshop': ['Sophia', 'Evelyn']}, {'The pants is in the bucket': ['Evelyn', 'Sophia']}, {'The bucket is in the workshop': ['Evelyn', 'Sophia']}, {'Sophia moved the pants to the envelope': ['Sophia', 'Evelyn']}, {'The envelope is in the workshop': ['Evelyn', 'Sophia']}, {'Evelyn exited the workshop': ['Evelyn', 'Sophia']}, {'Sophia exited the workshop': ['Sophia']}, {'Evelyn entered the dining room': ['Evelyn']}]"
290,293,second_order_1_no_tom,"['Benjamin entered the porch', 'Lily entered the porch', 'The corn is in the drawer', 'The drawer is in the porch', 'Lily moved the corn to the bathtub', 'The bathtub is in the porch', 'Benjamin exited the porch']","[['Benjamin'], ['Lily', 'Benjamin'], ['Benjamin', 'Lily'], ['Benjamin', 'Lily'], ['Lily', 'Benjamin'], ['Benjamin', 'Lily'], ['Benjamin', 'Lily']]","[{'Benjamin entered the porch': ['Benjamin']}, {'Lily entered the porch': ['Lily', 'Benjamin']}, {'The corn is in the drawer': ['Benjamin', 'Lily']}, {'The drawer is in the porch': ['Benjamin', 'Lily']}, {'Lily moved the corn to the bathtub': ['Lily', 'Benjamin']}, {'The bathtub is in the porch': ['Benjamin', 'Lily']}, {'Benjamin exited the porch': ['Benjamin', 'Lily']}]"
292,295,first_order_1_no_tom,"['Ella entered the porch', 'Oliver hates the slippers', 'Hunter entered the porch', 'The underclothes is in the suitcase', 'The suitcase is in the porch', 'Hunter moved the underclothes to the crate', 'The crate is in the porch', 'Ella exited the porch', 'Oliver entered the porch']","[['Ella'], ['Oliver'], ['Hunter', 'Ella'], ['Ella', 'Hunter'], ['Ella', 'Hunter'], ['Hunter', 'Ella'], ['Ella', 'Hunter'], ['Ella', 'Hunter'], ['Oliver', 'Hunter']]","[{'Ella entered the porch': ['Ella']}, {'Oliver hates the slippers': ['Oliver']}, {'Hunter entered the porch': ['Hunter', 'Ella']}, {'The underclothes is in the suitcase': ['Ella', 'Hunter']}, {'The suitcase is in the porch': ['Ella', 'Hunter']}, {'Hunter moved the underclothes to the crate': ['Hunter', 'Ella']}, {'The crate is in the porch': ['Ella', 'Hunter']}, {'Ella exited the porch': ['Ella', 'Hunter']}, {'Oliver entered the porch': ['Oliver', 'Hunter']}]"
293,296,first_order_0_tom,"['Emma dislikes the spinach', 'Emma entered the front yard', 'Olivia entered the front yard', 'The pants is in the bottle', 'The bottle is in the front yard', 'Hannah dislikes the pineapple', 'Emma exited the front yard', 'Olivia moved the pants to the envelope', 'The envelope is in the front yard']","[['Emma'], ['Emma'], ['Olivia', 'Emma'], ['Emma', 'Olivia'], ['Emma', 'Olivia'], ['Hannah'], ['Emma', 'Olivia'], ['Olivia'], ['Olivia']]","[{'Emma dislikes the spinach': ['Emma']}, {'Emma entered the front yard': ['Emma']}, {'Olivia entered the front yard': ['Olivia', 'Emma']}, {'The pants is in the bottle': ['Emma', 'Olivia']}, {'The bottle is in the front yard': ['Emma', 'Olivia']}, {'Hannah dislikes the pineapple': ['Hannah']}, {'Emma exited the front yard': ['Emma', 'Olivia']}, {'Olivia moved the pants to the envelope': ['Olivia']}, {'The envelope is in the front yard': ['Olivia']}]"
294,297,second_order_1_tom,"['Sophia entered the porch', 'Hunter entered the porch', 'The belt is in the cupboard', 'The cupboard is in the porch', 'Sophia exited the porch', 'Hunter moved the belt to the bottle', 'The bottle is in the porch', 'Hunter exited the porch', 'Sophia dislikes the pumpkin', 'Sophia entered the crawlspace']","[['Sophia'], ['Hunter', 'Sophia'], ['Sophia', 'Hunter'], ['Sophia', 'Hunter'], ['Sophia', 'Hunter'], ['Hunter'], ['Hunter'], ['Hunter'], ['Sophia'], ['Sophia']]","[{'Sophia entered the porch': ['Sophia']}, {'Hunter entered the porch': ['Hunter', 'Sophia']}, {'The belt is in the cupboard': ['Sophia', 'Hunter']}, {'The cupboard is in the porch': ['Sophia', 'Hunter']}, {'Sophia exited the porch': ['Sophia', 'Hunter']}, {'Hunter moved the belt to the bottle': ['Hunter']}, {'The bottle is in the porch': ['Hunter']}, {'Hunter exited the porch': ['Hunter']}, {'Sophia dislikes the pumpkin': ['Sophia']}, {'Sophia entered the crawlspace': ['Sophia']}]"
296,299,second_order_0_tom,"['Ava entered the living room', 'James entered the living room', 'The grapes is in the suitcase', 'The suitcase is in the living room', 'Ava exited the living room', 'Ava loves the grapes', 'James moved the grapes to the bottle', 'The bottle is in the living room', 'James dislikes the pumpkin', 'James exited the living room', 'Ava entered the living room']","[['Ava'], ['James', 'Ava'], ['Ava', 'James'], ['Ava', 'James'], ['Ava', 'James'], ['Ava'], ['James', 'Ava'], ['Ava', 'James'], ['James'], ['James', 'Ava'], ['Ava']]","[{'Ava entered the living room': ['Ava']}, {'James entered the living room': ['James', 'Ava']}, {'The grapes is in the suitcase': ['Ava', 'James']}, {'The suitcase is in the living room': ['Ava', 'James']}, {'Ava exited the living room': ['Ava', 'James']}, {'Ava loves the grapes': ['Ava']}, {'James moved the grapes to the bottle': ['James', 'Ava']}, {'The bottle is in the living room': ['Ava', 'James']}, {'James dislikes the pumpkin': ['James']}, {'James exited the living room': ['James', 'Ava']}, {'Ava entered the living room': ['Ava']}]"
301,304,first_order_1_no_tom,"['Isla entered the den', 'Hunter entered the den', 'The cabbage is in the bathtub', 'The bathtub is in the den', 'Isla moved the cabbage to the cupboard', 'The cupboard is in the den', 'Hunter exited the den', 'Isabella entered the den', 'Isla exited the den', 'Hunter entered the basement']","[['Isla'], ['Hunter', 'Isla'], ['Isla', 'Hunter'], ['Isla', 'Hunter'], ['Isla', 'Hunter'], ['Isla', 'Hunter'], ['Hunter', 'Isla'], ['Isabella', 'Isla'], ['Isla', 'Isabella'], ['Hunter']]","[{'Isla entered the den': ['Isla']}, {'Hunter entered the den': ['Hunter', 'Isla']}, {'The cabbage is in the bathtub': ['Isla', 'Hunter']}, {'The bathtub is in the den': ['Isla', 'Hunter']}, {'Isla moved the cabbage to the cupboard': ['Isla', 'Hunter']}, {'The cupboard is in the den': ['Isla', 'Hunter']}, {'Hunter exited the den': ['Hunter', 'Isla']}, {'Isabella entered the den': ['Isabella', 'Isla']}, {'Isla exited the den': ['Isla', 'Isabella']}, {'Hunter entered the basement': ['Hunter']}]"
302,305,first_order_1_no_tom,"['Mason loves the cucumber', 'Mason entered the cellar', 'James entered the cellar', 'Ethan entered the cellar', 'The sweater is in the cupboard', 'The cupboard is in the cellar', 'Mason loves the eggplant', 'James exited the cellar', 'Mason exited the cellar', 'James entered the cellar', 'Ethan moved the sweater to the suitcase', 'The suitcase is in the cellar']","[['Mason'], ['Mason'], ['James', 'Mason'], ['Ethan', 'Mason', 'James'], ['Mason', 'James', 'Ethan'], ['Mason', 'James', 'Ethan'], ['Mason'], ['James', 'Mason', 'Ethan'], ['Mason', 'Ethan'], ['James', 'Ethan'], ['Ethan', 'James'], ['Ethan', 'James']]","[{'Mason loves the cucumber': ['Mason']}, {'Mason entered the cellar': ['Mason']}, {'James entered the cellar': ['James', 'Mason']}, {'Ethan entered the cellar': ['Ethan', 'Mason', 'James']}, {'The sweater is in the cupboard': ['Mason', 'James', 'Ethan']}, {'The cupboard is in the cellar': ['Mason', 'James', 'Ethan']}, {'Mason loves the eggplant': ['Mason']}, {'James exited the cellar': ['James', 'Mason', 'Ethan']}, {'Mason exited the cellar': ['Mason', 'Ethan']}, {'James entered the cellar': ['James', 'Ethan']}, {'Ethan moved the sweater to the suitcase': ['Ethan', 'James']}, {'The suitcase is in the cellar': ['Ethan', 'James']}]"
303,306,second_order_1_tom,"['Evelyn entered the study', 'Hannah likes the pants', 'Elizabeth entered the kitchen', 'Hannah entered the kitchen', 'Elizabeth hates the slacks', 'The undershirt is in the suitcase', 'The suitcase is in the kitchen', 'Hannah exited the kitchen', 'Elizabeth moved the undershirt to the bottle', 'The bottle is in the kitchen']","[['Evelyn'], ['Hannah'], ['Elizabeth'], ['Hannah', 'Elizabeth'], ['Elizabeth'], ['Elizabeth', 'Hannah'], ['Elizabeth', 'Hannah'], ['Hannah', 'Elizabeth'], ['Elizabeth'], ['Elizabeth']]","[{'Evelyn entered the study': ['Evelyn']}, {'Hannah likes the pants': ['Hannah']}, {'Elizabeth entered the kitchen': ['Elizabeth']}, {'Hannah entered the kitchen': ['Hannah', 'Elizabeth']}, {'Elizabeth hates the slacks': ['Elizabeth']}, {'The undershirt is in the suitcase': ['Elizabeth', 'Hannah']}, {'The suitcase is in the kitchen': ['Elizabeth', 'Hannah']}, {'Hannah exited the kitchen': ['Hannah', 'Elizabeth']}, {'Elizabeth moved the undershirt to the bottle': ['Elizabeth']}, {'The bottle is in the kitchen': ['Elizabeth']}]"
304,307,second_order_0_no_tom,"['Aiden entered the playroom', 'Mia entered the playroom', 'The spinach is in the basket', 'The basket is in the playroom', 'Aiden moved the spinach to the bottle', 'The bottle is in the playroom', 'Mia exited the playroom', 'Aiden exited the playroom', 'Mia entered the cellar', 'Amelia entered the cellar', 'Amelia hates the pants']","[['Aiden'], ['Mia', 'Aiden'], ['Aiden', 'Mia'], ['Aiden', 'Mia'], ['Aiden', 'Mia'], ['Aiden', 'Mia'], ['Mia', 'Aiden'], ['Aiden'], ['Mia'], ['Amelia', 'Mia'], ['Amelia']]","[{'Aiden entered the playroom': ['Aiden']}, {'Mia entered the playroom': ['Mia', 'Aiden']}, {'The spinach is in the basket': ['Aiden', 'Mia']}, {'The basket is in the playroom': ['Aiden', 'Mia']}, {'Aiden moved the spinach to the bottle': ['Aiden', 'Mia']}, {'The bottle is in the playroom': ['Aiden', 'Mia']}, {'Mia exited the playroom': ['Mia', 'Aiden']}, {'Aiden exited the playroom': ['Aiden']}, {'Mia entered the cellar': ['Mia']}, {'Amelia entered the cellar': ['Amelia', 'Mia']}, {'Amelia hates the pants': ['Amelia']}]"
305,308,second_order_0_no_tom,"['James entered the living room', 'Evelyn entered the living room', 'The jeans is in the container', 'The container is in the living room', 'Evelyn exited the living room', 'Evelyn entered the living room', 'James moved the jeans to the box', 'The box is in the living room']","[['James'], ['Evelyn', 'James'], ['James', 'Evelyn'], ['James', 'Evelyn'], ['Evelyn', 'James'], ['Evelyn', 'James'], ['James', 'Evelyn'], ['James', 'Evelyn']]","[{'James entered the living room': ['James']}, {'Evelyn entered the living room': ['Evelyn', 'James']}, {'The jeans is in the container': ['James', 'Evelyn']}, {'The container is in the living room': ['James', 'Evelyn']}, {'Evelyn exited the living room': ['Evelyn', 'James']}, {'Evelyn entered the living room': ['Evelyn', 'James']}, {'James moved the jeans to the box': ['James', 'Evelyn']}, {'The box is in the living room': ['James', 'Evelyn']}]"
306,309,second_order_1_no_tom,"['Noah entered the hall', 'Elizabeth entered the hall', 'The grapefruit is in the treasure chest', 'The treasure chest is in the hall', 'James entered the basement', 'Elizabeth moved the grapefruit to the bathtub', 'The bathtub is in the hall', 'Noah hates the pajamas', 'Noah exited the hall', 'James exited the basement', 'Elizabeth loves the socks', 'Elizabeth exited the hall', 'Noah entered the basement']","[['Noah'], ['Elizabeth', 'Noah'], ['Noah', 'Elizabeth'], ['Noah', 'Elizabeth'], ['James'], ['Elizabeth', 'Noah'], ['Noah', 'Elizabeth'], ['Noah'], ['Noah', 'Elizabeth'], ['James'], ['Elizabeth'], ['Elizabeth'], ['Noah']]","[{'Noah entered the hall': ['Noah']}, {'Elizabeth entered the hall': ['Elizabeth', 'Noah']}, {'The grapefruit is in the treasure chest': ['Noah', 'Elizabeth']}, {'The treasure chest is in the hall': ['Noah', 'Elizabeth']}, {'James entered the basement': ['James']}, {'Elizabeth moved the grapefruit to the bathtub': ['Elizabeth', 'Noah']}, {'The bathtub is in the hall': ['Noah', 'Elizabeth']}, {'Noah hates the pajamas': ['Noah']}, {'Noah exited the hall': ['Noah', 'Elizabeth']}, {'James exited the basement': ['James']}, {'Elizabeth loves the socks': ['Elizabeth']}, {'Elizabeth exited the hall': ['Elizabeth']}, {'Noah entered the basement': ['Noah']}]"
308,311,first_order_1_no_tom,"['Emma entered the office', 'Jayden entered the office', 'The onion is in the suitcase', 'The suitcase is in the office', 'Jayden likes the peas', 'Jayden moved the onion to the envelope', 'The envelope is in the office', 'Emma exited the office', 'Jayden exited the office', 'Emma entered the office']","[['Emma'], ['Jayden', 'Emma'], ['Emma', 'Jayden'], ['Emma', 'Jayden'], ['Jayden'], ['Jayden', 'Emma'], ['Emma', 'Jayden'], ['Emma', 'Jayden'], ['Jayden'], ['Emma']]","[{'Emma entered the office': ['Emma']}, {'Jayden entered the office': ['Jayden', 'Emma']}, {'The onion is in the suitcase': ['Emma', 'Jayden']}, {'The suitcase is in the office': ['Emma', 'Jayden']}, {'Jayden likes the peas': ['Jayden']}, {'Jayden moved the onion to the envelope': ['Jayden', 'Emma']}, {'The envelope is in the office': ['Emma', 'Jayden']}, {'Emma exited the office': ['Emma', 'Jayden']}, {'Jayden exited the office': ['Jayden']}, {'Emma entered the office': ['Emma']}]"
309,312,first_order_0_no_tom,"['Isla entered the master bedroom', 'Emily entered the master bedroom', 'The banana is in the drawer', 'The drawer is in the master bedroom', 'Emily moved the banana to the envelope', 'The envelope is in the master bedroom', 'Isla exited the master bedroom', 'Isla entered the back yard']","[['Isla'], ['Emily', 'Isla'], ['Isla', 'Emily'], ['Isla', 'Emily'], ['Emily', 'Isla'], ['Isla', 'Emily'], ['Isla', 'Emily'], ['Isla']]","[{'Isla entered the master bedroom': ['Isla']}, {'Emily entered the master bedroom': ['Emily', 'Isla']}, {'The banana is in the drawer': ['Isla', 'Emily']}, {'The drawer is in the master bedroom': ['Isla', 'Emily']}, {'Emily moved the banana to the envelope': ['Emily', 'Isla']}, {'The envelope is in the master bedroom': ['Isla', 'Emily']}, {'Isla exited the master bedroom': ['Isla', 'Emily']}, {'Isla entered the back yard': ['Isla']}]"
312,315,first_order_0_no_tom,"['Oliver entered the pantry', 'Noah entered the pantry', 'Chloe entered the pantry', 'The skirt is in the box', 'The box is in the pantry', 'Noah moved the skirt to the crate', 'The crate is in the pantry', 'Chloe exited the pantry', 'Oliver likes the sweater', 'Noah exited the pantry', 'Chloe entered the pantry']","[['Oliver'], ['Noah', 'Oliver'], ['Chloe', 'Oliver', 'Noah'], ['Oliver', 'Noah', 'Chloe'], ['Oliver', 'Noah', 'Chloe'], ['Noah', 'Oliver', 'Chloe'], ['Oliver', 'Noah', 'Chloe'], ['Chloe', 'Oliver', 'Noah'], ['Oliver'], ['Noah', 'Oliver'], ['Chloe', 'Oliver']]","[{'Oliver entered the pantry': ['Oliver']}, {'Noah entered the pantry': ['Noah', 'Oliver']}, {'Chloe entered the pantry': ['Chloe', 'Oliver', 'Noah']}, {'The skirt is in the box': ['Oliver', 'Noah', 'Chloe']}, {'The box is in the pantry': ['Oliver', 'Noah', 'Chloe']}, {'Noah moved the skirt to the crate': ['Noah', 'Oliver', 'Chloe']}, {'The crate is in the pantry': ['Oliver', 'Noah', 'Chloe']}, {'Chloe exited the pantry': ['Chloe', 'Oliver', 'Noah']}, {'Oliver likes the sweater': ['Oliver']}, {'Noah exited the pantry': ['Noah', 'Oliver']}, {'Chloe entered the pantry': ['Chloe', 'Oliver']}]"
315,318,second_order_0_no_tom,"['Aiden entered the dining room', 'Nathan entered the dining room', 'The eggplant is in the basket', 'The basket is in the dining room', 'Aiden moved the eggplant to the bucket', 'The bucket is in the dining room', 'Nathan exited the dining room', 'Lucas entered the dining room', 'Lucas exited the dining room', 'Nathan entered the dining room']","[['Aiden'], ['Nathan', 'Aiden'], ['Aiden', 'Nathan'], ['Aiden', 'Nathan'], ['Aiden', 'Nathan'], ['Aiden', 'Nathan'], ['Nathan', 'Aiden'], ['Lucas', 'Aiden'], ['Lucas', 'Aiden'], ['Nathan', 'Aiden']]","[{'Aiden entered the dining room': ['Aiden']}, {'Nathan entered the dining room': ['Nathan', 'Aiden']}, {'The eggplant is in the basket': ['Aiden', 'Nathan']}, {'The basket is in the dining room': ['Aiden', 'Nathan']}, {'Aiden moved the eggplant to the bucket': ['Aiden', 'Nathan']}, {'The bucket is in the dining room': ['Aiden', 'Nathan']}, {'Nathan exited the dining room': ['Nathan', 'Aiden']}, {'Lucas entered the dining room': ['Lucas', 'Aiden']}, {'Lucas exited the dining room': ['Lucas', 'Aiden']}, {'Nathan entered the dining room': ['Nathan', 'Aiden']}]"
316,319,second_order_1_tom,"['Avery entered the cellar', 'William entered the cellar', 'Jack hates the skirt', 'The pineapple is in the bathtub', 'The bathtub is in the cellar', 'Jack entered the garage', 'Avery exited the cellar', 'William moved the pineapple to the basket', 'The basket is in the cellar']","[['Avery'], ['William', 'Avery'], ['Jack'], ['Avery', 'William'], ['Avery', 'William'], ['Jack'], ['Avery', 'William'], ['William'], ['William']]","[{'Avery entered the cellar': ['Avery']}, {'William entered the cellar': ['William', 'Avery']}, {'Jack hates the skirt': ['Jack']}, {'The pineapple is in the bathtub': ['Avery', 'William']}, {'The bathtub is in the cellar': ['Avery', 'William']}, {'Jack entered the garage': ['Jack']}, {'Avery exited the cellar': ['Avery', 'William']}, {'William moved the pineapple to the basket': ['William']}, {'The basket is in the cellar': ['William']}]"
319,322,first_order_0_no_tom,"['Emily entered the living room', 'James entered the living room', 'The banana is in the container', 'The container is in the living room', 'James moved the banana to the basket', 'The basket is in the living room', 'Emily likes the cucumber', 'Emily exited the living room']","[['Emily'], ['James', 'Emily'], ['Emily', 'James'], ['Emily', 'James'], ['James', 'Emily'], ['Emily', 'James'], ['Emily'], ['Emily', 'James']]","[{'Emily entered the living room': ['Emily']}, {'James entered the living room': ['James', 'Emily']}, {'The banana is in the container': ['Emily', 'James']}, {'The container is in the living room': ['Emily', 'James']}, {'James moved the banana to the basket': ['James', 'Emily']}, {'The basket is in the living room': ['Emily', 'James']}, {'Emily likes the cucumber': ['Emily']}, {'Emily exited the living room': ['Emily', 'James']}]"
322,325,first_order_1_tom,"['Jayden entered the patio', 'Olivia hates the sweater', 'Isabella entered the patio', 'Olivia entered the patio', 'The green pepper is in the pantry', 'The pantry is in the patio', 'Isabella exited the patio', 'Jayden moved the green pepper to the bottle', 'The bottle is in the patio']","[['Jayden'], ['Olivia'], ['Isabella', 'Jayden'], ['Olivia', 'Jayden', 'Isabella'], ['Jayden', 'Isabella', 'Olivia'], ['Jayden', 'Isabella', 'Olivia'], ['Isabella', 'Jayden', 'Olivia'], ['Jayden', 'Olivia'], ['Jayden', 'Olivia']]","[{'Jayden entered the patio': ['Jayden']}, {'Olivia hates the sweater': ['Olivia']}, {'Isabella entered the patio': ['Isabella', 'Jayden']}, {'Olivia entered the patio': ['Olivia', 'Jayden', 'Isabella']}, {'The green pepper is in the pantry': ['Jayden', 'Isabella', 'Olivia']}, {'The pantry is in the patio': ['Jayden', 'Isabella', 'Olivia']}, {'Isabella exited the patio': ['Isabella', 'Jayden', 'Olivia']}, {'Jayden moved the green pepper to the bottle': ['Jayden', 'Olivia']}, {'The bottle is in the patio': ['Jayden', 'Olivia']}]"
323,326,second_order_1_tom,"['Benjamin entered the playroom', 'Lily entered the playroom', 'The lemon is in the bottle', 'The bottle is in the playroom', 'Benjamin likes the shirt', 'Benjamin exited the playroom', 'Benjamin dislikes the grapefruit', 'Lily moved the lemon to the pantry', 'The pantry is in the playroom']","[['Benjamin'], ['Lily', 'Benjamin'], ['Benjamin', 'Lily'], ['Benjamin', 'Lily'], ['Benjamin'], ['Benjamin', 'Lily'], ['Benjamin'], ['Lily'], ['Lily']]","[{'Benjamin entered the playroom': ['Benjamin']}, {'Lily entered the playroom': ['Lily', 'Benjamin']}, {'The lemon is in the bottle': ['Benjamin', 'Lily']}, {'The bottle is in the playroom': ['Benjamin', 'Lily']}, {'Benjamin likes the shirt': ['Benjamin']}, {'Benjamin exited the playroom': ['Benjamin', 'Lily']}, {'Benjamin dislikes the grapefruit': ['Benjamin']}, {'Lily moved the lemon to the pantry': ['Lily']}, {'The pantry is in the playroom': ['Lily']}]"
324,327,first_order_1_no_tom,"['Lily entered the TV room', 'Lucas entered the TV room', 'The cabbage is in the box', 'The box is in the TV room', 'Lily exited the TV room', 'Lily entered the TV room', 'Lucas likes the hat', 'Lucas moved the cabbage to the basket', 'The basket is in the TV room']","[['Lily'], ['Lucas', 'Lily'], ['Lily', 'Lucas'], ['Lily', 'Lucas'], ['Lily', 'Lucas'], ['Lily', 'Lucas'], ['Lucas'], ['Lucas', 'Lily'], ['Lucas', 'Lily']]","[{'Lily entered the TV room': ['Lily']}, {'Lucas entered the TV room': ['Lucas', 'Lily']}, {'The cabbage is in the box': ['Lily', 'Lucas']}, {'The box is in the TV room': ['Lily', 'Lucas']}, {'Lily exited the TV room': ['Lily', 'Lucas']}, {'Lily entered the TV room': ['Lily', 'Lucas']}, {'Lucas likes the hat': ['Lucas']}, {'Lucas moved the cabbage to the basket': ['Lucas', 'Lily']}, {'The basket is in the TV room': ['Lucas', 'Lily']}]"
326,329,first_order_0_tom,"['Mila entered the staircase', 'Avery entered the staircase', 'Avery hates the shirt', 'The t-shirt is in the drawer', 'The drawer is in the staircase', 'Mila exited the staircase', 'Avery moved the t-shirt to the cupboard', 'The cupboard is in the staircase', 'Avery exited the staircase', 'Mila entered the playroom']","[['Mila'], ['Avery', 'Mila'], ['Avery'], ['Mila', 'Avery'], ['Mila', 'Avery'], ['Mila', 'Avery'], ['Avery'], ['Avery'], ['Avery'], ['Mila']]","[{'Mila entered the staircase': ['Mila']}, {'Avery entered the staircase': ['Avery', 'Mila']}, {'Avery hates the shirt': ['Avery']}, {'The t-shirt is in the drawer': ['Mila', 'Avery']}, {'The drawer is in the staircase': ['Mila', 'Avery']}, {'Mila exited the staircase': ['Mila', 'Avery']}, {'Avery moved the t-shirt to the cupboard': ['Avery']}, {'The cupboard is in the staircase': ['Avery']}, {'Avery exited the staircase': ['Avery']}, {'Mila entered the playroom': ['Mila']}]"
328,331,second_order_0_tom,"['Alexander entered the master bedroom', 'Ella entered the master bedroom', 'Isabella entered the bathroom', 'Isabella exited the bathroom', 'The sweatshirt is in the bucket', 'The bucket is in the master bedroom', 'Alexander exited the master bedroom', 'Ella moved the sweatshirt to the basket', 'The basket is in the master bedroom']","[['Alexander'], ['Ella', 'Alexander'], ['Isabella'], ['Isabella'], ['Alexander', 'Ella'], ['Alexander', 'Ella'], ['Alexander', 'Ella'], ['Ella'], ['Ella']]","[{'Alexander entered the master bedroom': ['Alexander']}, {'Ella entered the master bedroom': ['Ella', 'Alexander']}, {'Isabella entered the bathroom': ['Isabella']}, {'Isabella exited the bathroom': ['Isabella']}, {'The sweatshirt is in the bucket': ['Alexander', 'Ella']}, {'The bucket is in the master bedroom': ['Alexander', 'Ella']}, {'Alexander exited the master bedroom': ['Alexander', 'Ella']}, {'Ella moved the sweatshirt to the basket': ['Ella']}, {'The basket is in the master bedroom': ['Ella']}]"
330,333,second_order_1_tom,"['Abigail entered the porch', 'Aiden entered the bedroom', 'Chloe entered the bedroom', 'The melon is in the basket', 'The basket is in the bedroom', 'Chloe exited the bedroom', 'Abigail exited the porch', 'Aiden moved the melon to the treasure chest', 'The treasure chest is in the bedroom']","[['Abigail'], ['Aiden'], ['Chloe', 'Aiden'], ['Aiden', 'Chloe'], ['Aiden', 'Chloe'], ['Chloe', 'Aiden'], ['Abigail'], ['Aiden'], ['Aiden']]","[{'Abigail entered the porch': ['Abigail']}, {'Aiden entered the bedroom': ['Aiden']}, {'Chloe entered the bedroom': ['Chloe', 'Aiden']}, {'The melon is in the basket': ['Aiden', 'Chloe']}, {'The basket is in the bedroom': ['Aiden', 'Chloe']}, {'Chloe exited the bedroom': ['Chloe', 'Aiden']}, {'Abigail exited the porch': ['Abigail']}, {'Aiden moved the melon to the treasure chest': ['Aiden']}, {'The treasure chest is in the bedroom': ['Aiden']}]"
332,335,second_order_1_no_tom,"['Avery is in the crawlspace', 'Ella entered the crawlspace', 'The trousers is in the bottle', 'The bottle is in the crawlspace', 'Avery moved the trousers to the drawer', 'The drawer is in the crawlspace', 'Oliver dislikes the raincoat', 'Ella exited the crawlspace', 'Avery exited the crawlspace', 'Ella entered the dining room']","[['Avery'], ['Ella', 'Avery'], ['Avery', 'Ella'], ['Avery', 'Ella'], ['Avery', 'Ella'], ['Avery', 'Ella'], ['Oliver'], ['Ella', 'Avery'], ['Avery'], ['Ella']]","[{'Avery is in the crawlspace': ['Avery']}, {'Ella entered the crawlspace': ['Ella', 'Avery']}, {'The trousers is in the bottle': ['Avery', 'Ella']}, {'The bottle is in the crawlspace': ['Avery', 'Ella']}, {'Avery moved the trousers to the drawer': ['Avery', 'Ella']}, {'The drawer is in the crawlspace': ['Avery', 'Ella']}, {'Oliver dislikes the raincoat': ['Oliver']}, {'Ella exited the crawlspace': ['Ella', 'Avery']}, {'Avery exited the crawlspace': ['Avery']}, {'Ella entered the dining room': ['Ella']}]"
334,337,second_order_0_no_tom,"['Emma entered the lounge', 'Alexander entered the lounge', 'The peas is in the crate', 'The crate is in the lounge', 'Alexander moved the peas to the bathtub', 'The bathtub is in the lounge', 'Emma loves the lime', 'Emma exited the lounge', 'Alexander exited the lounge', 'Emma entered the playroom']","[['Emma'], ['Alexander', 'Emma'], ['Emma', 'Alexander'], ['Emma', 'Alexander'], ['Alexander', 'Emma'], ['Emma', 'Alexander'], ['Emma'], ['Emma', 'Alexander'], ['Alexander'], ['Emma']]","[{'Emma entered the lounge': ['Emma']}, {'Alexander entered the lounge': ['Alexander', 'Emma']}, {'The peas is in the crate': ['Emma', 'Alexander']}, {'The crate is in the lounge': ['Emma', 'Alexander']}, {'Alexander moved the peas to the bathtub': ['Alexander', 'Emma']}, {'The bathtub is in the lounge': ['Emma', 'Alexander']}, {'Emma loves the lime': ['Emma']}, {'Emma exited the lounge': ['Emma', 'Alexander']}, {'Alexander exited the lounge': ['Alexander']}, {'Emma entered the playroom': ['Emma']}]"
